iter	Logloss
0	0.6534473267
1	0.6191359253
2	0.589263916
3	0.5655556641
4	0.5398823853
5	0.5207919312
6	0.5018004761
7	0.4841445313
8	0.4705316772
9	0.4599237976
10	0.4498913879
11	0.4398684387
12	0.4329875488
13	0.4242472839
14	0.4166837769
15	0.4098247681
16	0.4039646606
17	0.3987240601
18	0.3945328979
19	0.3903491516
20	0.386506012
21	0.3831314087
22	0.3803875427
23	0.3775434265
24	0.3750082092
25	0.3725635071
26	0.3689864197
27	0.3670031738
28	0.3650728149
29	0.3633869019
30	0.3607117615
31	0.3590928955
32	0.3575139771
33	0.3563693848
34	0.3544906616
35	0.3535189209
36	0.3518672485
37	0.3507893677
38	0.349336731
39	0.3479099731
40	0.3466999512
41	0.3457252197
42	0.3449446716
43	0.3444319458
44	0.3437467957
45	0.343000061
46	0.3424041138
47	0.3419234009
48	0.3412963867
49	0.3406760864
50	0.3401966553
51	0.3396594849
52	0.3391641235
53	0.3385863647
54	0.33824823
55	0.3375969238
56	0.3371490173
57	0.3367267456
58	0.3364899902
59	0.3354782715
60	0.3347034912
61	0.3345172424
62	0.3338990479
63	0.3331651306
64	0.3328422241
65	0.3324436646
66	0.3320455322
67	0.3317438354
68	0.3310533142
69	0.3309300537
70	0.3304089966
71	0.3301179199
72	0.3299501343
73	0.3293761902
74	0.3289512329
75	0.328730072
76	0.328369873
77	0.327960968
78	0.3276175232
79	0.3272013855
80	0.3269013672
81	0.3265969543
82	0.3264363098
83	0.3260843506
84	0.3257532349
85	0.3255078125
86	0.3252149658
87	0.3250020142
88	0.324913147
89	0.3247328491
90	0.3245411072
91	0.3242186279
92	0.3239927368
93	0.3236424866
94	0.3233468323
95	0.3230360413
96	0.3229075928
97	0.3226340942
98	0.3223690796
99	0.3221432495
100	0.3217866821
101	0.3215996399
102	0.3212868347
103	0.3210953979
104	0.3209964905
105	0.3208004761
106	0.3204974365
107	0.3201627197
108	0.3199562378
109	0.3198305969
110	0.3195529175
111	0.3193086243
112	0.3189422607
113	0.318779541
114	0.3186078491
115	0.3183684998
116	0.3182209167
117	0.3180211182
118	0.3177490234
119	0.3176169128
120	0.3174377747
121	0.3172633972
122	0.3170734558
123	0.3169676819
124	0.3167763672
125	0.3166253357
126	0.316397583
127	0.3162462769
128	0.3161566772
129	0.3160140991
130	0.3157854004
131	0.315664978
132	0.315457489
133	0.3150959778
134	0.3148441162
135	0.314722168
136	0.3145690308
137	0.3143916016
138	0.314156189
139	0.314052002
140	0.3139697266
141	0.313854126
142	0.3137139587
143	0.3134698792
144	0.3133592224
145	0.3132228699
146	0.313104126
147	0.3129298401
148	0.3128347473
149	0.3125771484
150	0.3123668518
151	0.3121923218
152	0.3120955505
153	0.3119574585
154	0.3116879578
155	0.3115105591
156	0.311295929
157	0.3111913452
158	0.3109073792
159	0.3106534119
160	0.3104810791
161	0.3103317261
162	0.3102155151
163	0.3100169678
164	0.3098630066
165	0.3097356567
166	0.3095457764
167	0.3093196716
168	0.3092149048
169	0.3090413208
170	0.3089273071
171	0.308585144
172	0.3085039673
173	0.3083537292
174	0.3082034302
175	0.3080699768
176	0.3079724426
177	0.3077778625
178	0.3077070923
179	0.3074679565
180	0.3072815857
181	0.3071022644
182	0.306941864
183	0.3068480225
184	0.3067078247
185	0.3065916138
186	0.3064560547
187	0.3063807373
188	0.3061886597
189	0.3060593262
190	0.3058870239
191	0.3057581787
192	0.3056412659
193	0.3055450134
194	0.3053817749
195	0.3051637573
196	0.3050682983
197	0.3049683228
198	0.3048225708
199	0.3046849976
